name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z,bb_diagonal,barycenter,major_eigenvector,median_eigenvector,minor_eigenvector,mass_directions
Insect/D00309.obj,Insect,10000,19569,19569,0,0.524643,0.9462520000000001,1.012298,1.4816849752079555,"[0.001, 0.001, 0.008]","[0.9999999999999953, -1.1375922745604695e-08, -9.52406392197505e-08]","[-1.1375924792699302e-08, -0.9999999999999998, -2.1493916006583653e-08]","[-9.524063897523489e-08, 2.1493916879536794e-08, -0.9999999999999953]","[1, 1, 1]"
Insect/D00136.obj,Insect,10000,19740,19740,0,0.390415,0.707237,0.98505,1.273943306781742,"[0.015, -0.001, 0.012]","[0.9999999999999996, 2.38317472051967e-08, -1.7079505556223967e-08]","[-2.383174804097904e-08, 0.9999999999999984, -4.8934806856420764e-08]","[1.7079504390022106e-08, 4.8934807270608745e-08, 0.9999999999999987]","[1, 1, 1]"
Insect/D00081.obj,Insect,10000,19952,19952,0,0.307736,1.000166,0.806767,1.3213275390837051,"[0.004, 0.0, 0.012]","[0.9999999999999996, 2.5366421885518153e-08, 5.363297180618876e-09]","[2.536642197147772e-08, -0.9999999999999996, -1.6027373123117528e-08]","[5.363296774061768e-09, 1.6027373297776072e-08, -0.9999999999999998]","[1, 1, 1]"
Insect/D00732.obj,Insect,10000,19897,19897,0,0.570195,0.955308,0.856198,1.4038556649787755,"[0.007, -0.002, 0.023]","[0.9999999999999925, -3.083776826743325e-08, -1.1913419901350814e-07]","[-3.0837767431724305e-08, -0.9999999999999996, 7.014801692338521e-09]","[-1.1913419922983436e-07, -7.014797844141194e-09, -0.9999999999999929]","[1, 1, 1]"
Insect/D00109.obj,Insect,10000,18041,18041,0,0.587104,1.000387,0.774702,1.3948578584891722,"[0.0, 0.0, -0.006]","[0.9999999999999998, -2.1208694532236918e-08, -2.8500798950169926e-09]","[-2.1208694402644232e-08, -0.9999999999999987, 4.5469835609932715e-08]","[2.850080859372843e-09, 4.546983558168496e-08, 0.9999999999999989]","[1, 1, 1]"
Insect/D00294.obj,Insect,10000,18575,18575,0,0.30161099999999996,0.864463,0.970451,1.3341816282242083,"[0.0, 0.027, 0.074]","[0.9999999999999993, 3.4430490695553825e-08, 6.968710354594697e-09]","[3.44304906691271e-08, -0.9999999999999993, 3.792197396490614e-09]","[-6.968710485161904e-09, 3.792196787751638e-09, 1.0]","[1, 1, 1]"
Insect/D00082.obj,Insect,10000,19872,19872,0,0.493158,1.000602,0.935472,1.4558561186298595,"[0.004, 0.0, 0.073]","[0.9999999999999998, -2.301442437977214e-08, -2.0718211430253925e-09]","[-2.3014424428915276e-08, -0.9999999999999996, -2.3719778324069438e-08]","[2.0718205971283484e-09, -2.3719777959718682e-08, 0.9999999999999998]","[1, 1, 1]"
Insect/D00333.obj,Insect,9998,19529,19529,0,0.194823,0.76668,0.997173,1.2728347165512104,"[0.008, -0.003, 0.013]","[0.9999999999999998, 1.8900750132449306e-08, -2.5424004336059693e-09]","[1.890075011332485e-08, -0.9999999999999998, -7.522202549605442e-09]","[2.5424005757812394e-09, -7.522202513424383e-09, 1.0]","[1, 1, 1]"
Insect/D00695.obj,Insect,10000,19866,19866,0,0.239627,0.692359,0.994948,1.2355984811879626,"[0.001, 0.002, 0.091]","[0.9999999999999996, 2.808599300033965e-08, 2.1458887171270566e-09]","[2.808599300308681e-08, -0.9999999999999996, -1.2801997167455641e-09]","[-2.145888681171375e-09, -1.280199694712453e-09, 1.0]","[1, 1, 1]"
Insect/D00291.obj,Insect,10000,19956,19956,0,0.184354,0.541606,1.000305,1.1523599913121767,"[0.002, -0.001, 0.035]","[0.9999999999999996, 1.324927312864766e-08, 2.498443430365279e-08]","[1.3249272805243461e-08, -0.9999999999999998, 1.2944215412177191e-08]","[2.498443447515361e-08, -1.2944214916318052e-08, -0.9999999999999996]","[1, 1, 1]"
