query shape,retrieved shapes
Insect/D00309.obj,"Tool/m590.obj, Motorcycle/D00396.obj, Insect/D00855.obj, Motorcycle/m1482.obj, Quadruped/m86.obj"
Insect/D00136.obj,"Insect/D00117.obj, Musical_Instrument/m644.obj, Biplane/D00276.obj, Biplane/m1144.obj, Tool/m589.obj"
Insect/D00081.obj,"Insect/D00895.obj, Jet/m1257.obj, Jet/m1228.obj, City/D01066.obj, Sword/m705.obj"
Insect/D00732.obj,"Jet/m1222.obj, House/m432.obj, Helicopter/m1311.obj, Jet/m1221.obj, Ship/m1448.obj"
Insect/D00109.obj,"Jet/m1241.obj, City/m1659.obj, City/D01090.obj, Bird/D00625.obj, Bird/D00862.obj"
Insect/D00294.obj,"Humanoid/m227.obj, Tool/m588.obj, Biplane/m1129.obj, Motorcycle/D00476.obj, Helicopter/m1333.obj"
Insect/D00082.obj,"Chess/m1606.obj, Chess/D01099.obj, FloorLamp/D00875.obj, RoundTable/m929.obj, RoundTable/D00194.obj"
Insect/D00333.obj,"Starship/m1365.obj, Humanoid/m257.obj, Humanoid/m234.obj, Bird/D00284.obj, Starship/m1383.obj"
Insect/D00695.obj,"Biplane/D00632.obj, Helicopter/m1308.obj, Gun/D00207.obj, PlantWildNonTree/m985.obj, Monitor/D01000.obj"
Insect/D00291.obj,"Humanoid/m260.obj, Starship/m1369.obj, Humanoid/m198.obj, Humanoid/m171.obj, Humanoid/m207.obj"
Insect/D00734.obj,"Insect/m16.obj, Biplane/m1131.obj, Insect/m25.obj, Insect/m20.obj, FloorLamp/D00211.obj"
Insect/D00668.obj,"Insect/D00884.obj, Insect/D00662.obj, PlantIndoors/m1002.obj, Monitor/D00339.obj, Gun/D00161.obj"
Insect/D00746.obj,"DeskLamp/D00759.obj, Insect/m18.obj, Train/D01027.obj, PlantIndoors/m1022.obj, RoundTable/D00948.obj"
Insect/m4.obj,"Humanoid/m187.obj, DeskPhone/D00220.obj, Biplane/m1141.obj, FloorLamp/D00856.obj, DeskLamp/D00715.obj"
Insect/D00752.obj,"Jet/m1174.obj, Quadruped/m275.obj, PlantWildNonTree/m964.obj, PlantIndoors/m1036.obj, PlantIndoors/m1034.obj"
Insect/m13.obj,"Door/D01158.obj, Spoon/D00014.obj, PlantWildNonTree/m975.obj, Jet/m1294.obj, Jet/m1256.obj"
Insect/D00430.obj,"Biplane/m1120.obj, Sign/m1685.obj, Starship/m1353.obj, Biplane/m1138.obj, BuildingNonResidential/m401.obj"
Insect/D00814.obj,"Door/m1721.obj, Biplane/m1136.obj, Insect/D00231.obj, Biplane/D00410.obj, Tree/m1075.obj"
Insect/m12.obj,"Insect/D00774.obj, Insect/m17.obj, PlantIndoors/D00667.obj, PlantIndoors/m1026.obj, DeskLamp/m603.obj"
Insect/D00753.obj,"DeskPhone/D00829.obj, House/m433.obj, Apartment/m463.obj, BuildingNonResidential/m481.obj, Starship/m1379.obj"
Insect/m7.obj,"Starship/m1373.obj, FloorLamp/D00186.obj, Starship/m1370.obj, Motorcycle/D00224.obj, Hand/m338.obj"
Insect/D00989.obj,"Helicopter/D00498.obj, House/m431.obj, Gun/D00209.obj, Tree/m1067.obj, Tree/m1078.obj"
Insect/D00786.obj,"Insect/m2.obj, Insect/m1.obj, DeskPhone/D00556.obj, Gun/D00204.obj, BuildingNonResidential/m412.obj"
Insect/m10.obj,"Jet/m1215.obj, Door/D01029.obj, Gun/m648.obj, Door/m1707.obj, PlantWildNonTree/m985.obj"
Insect/D00590.obj,"Humanoid/m240.obj, Helicopter/D00644.obj, Insect/D00510.obj, PlantIndoors/m1011.obj, Biplane/D00854.obj"
Insect/D00180.obj,"City/D01018.obj, BuildingNonResidential/m470.obj, Door/m1710.obj, PlantIndoors/m1016.obj, Insect/D00615.obj"
Insect/m11.obj,"Insect/m15.obj, Jet/m1295.obj, Jet/m1281.obj, Sign/m1675.obj, Jet/m1163.obj"
Insect/D00787.obj,"Sign/m1675.obj, Jet/m1295.obj, Jet/m1294.obj, Insect/m15.obj, PlantWildNonTree/m975.obj"
Insect/m6.obj,"Hand/D01118.obj, WheelChair/D00290.obj, Biplane/D00601.obj, PlantIndoors/D00466.obj, Hand/m326.obj"
Insect/m2.obj,"Insect/D00786.obj, Insect/m1.obj, DeskPhone/D00556.obj, Gun/D00204.obj, BuildingNonResidential/m412.obj"
Insect/D00973.obj,"Helicopter/m1304.obj, Biplane/m1118.obj, Biplane/m1135.obj, PlantIndoors/m1005.obj, Starship/m1359.obj"
Insect/m15.obj,"Insect/m11.obj, Jet/m1295.obj, Sign/m1675.obj, Jet/m1281.obj, Insect/D00787.obj"
Insect/D00806.obj,"Biplane/m1126.obj, RectangleTable/D00317.obj, Insect/m25.obj, Insect/m16.obj, Insect/D00734.obj"
Insect/D00231.obj,"Gun/m667.obj, Ship/D00258.obj, Spoon/D00842.obj, Biplane/m1136.obj, Gun/D00802.obj"
Insect/m14.obj,"PlantIndoors/m1008.obj, Monitor/D01000.obj, PlantIndoors/m1012.obj, Gun/D00207.obj, Helicopter/m1308.obj"
Insect/m3.obj,"Computer/D01115.obj, BuildingNonResidential/m391.obj, Bird/D00113.obj, Monitor/D00007.obj, PlantIndoors/m999.obj"
Insect/m1.obj,"Insect/D00786.obj, Insect/m2.obj, Gun/D00244.obj, BuildingNonResidential/m412.obj, DeskPhone/D00556.obj"
Insect/m16.obj,"Insect/m25.obj, Insect/D00734.obj, Biplane/m1131.obj, Insect/m20.obj, Insect/D00806.obj"
Insect/m17.obj,"Insect/D00774.obj, FloorLamp/D00093.obj, NonWheelChair/m821.obj, NonWheelChair/m798.obj, RectangleTable/m764.obj"
