name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z,bb_diagonal,barycenter,major_eigenvector,median_eigenvector,minor_eigenvector,mass_directions
AquaticAnimal/m53.obj,AquaticAnimal,18409,34877,34877,0,0.138371,0.32376099999999997,0.95,1.0131474318982405,[0.101 0.169 0.664],[0.04400344 0.00532412 0.99901719],[-0.99564639  0.08248252  0.04341538],[ 0.08217031  0.99657829 -0.00893045],[1 1 1]
AquaticAnimal/m54.obj,AquaticAnimal,18143,33836,33836,0,0.229899,0.346143,0.95,1.0369033352487589,[0.146 0.173 0.645],[-0.01619696 -0.12136847  0.99247537],[-0.98729937  0.15883635  0.00331139],[0.15804306 0.97981667 0.12239968],[1 1 1]
AquaticAnimal/m55.obj,AquaticAnimal,19505,37072,37072,0,0.15651,0.35514599999999996,0.95,1.0262183302864942,[0.093 0.177 0.684],[ 0.01668159 -0.00397871 -0.99985294],[ 0.99796237 -0.06152773  0.01689488],[ 0.0615859   0.99809744 -0.00294422],[1 1 1]
AquaticAnimal/m56.obj,AquaticAnimal,5814,10893,10893,0,0.143956,0.342452,0.95,1.0200474019573795,[0.097 0.171 0.713],[-9.99963163e-01 -8.58243737e-03  1.19653977e-04],[-0.00857949  0.99983921  0.01574652],[ 2.54778265e-04 -1.57449140e-02  9.99876009e-01],[1 1 1]
AquaticAnimal/m57.obj,AquaticAnimal,18878,36278,36278,0,0.11896300000000001,0.36444299999999996,0.95,1.0244368675609052,[0.085 0.189 0.669],[-9.99998930e-01 -1.84669139e-04  1.45138392e-03],[-2.64215463e-04  9.98486340e-01 -5.49996219e-02],[-0.00143903 -0.05499995 -0.99848532],[1 1 1]
AquaticAnimal/m58.obj,AquaticAnimal,477,950,950,0,0.512049,0.47521099999999994,0.95,1.1792029820696688,[0.276 0.232 0.492],[-0.05791818  0.01689609 -0.99817834],[-0.99610565 -0.06755595  0.0566544 ],[ 0.06647565 -0.99757241 -0.02074301],[1 1 1]
AquaticAnimal/m59.obj,AquaticAnimal,44,1680,1680,0,0.2,0.2,0.95,0.9912113800799505,[0.125 0.125 0.512],[ 1.00000000e+00  1.64000598e-18 -8.23989416e-18],[0.00000000e+00 1.00000000e+00 4.43330964e-17],[ 0.0000000e+00 -8.1778647e-17  1.0000000e+00],[1 1 1]
AquaticAnimal/m60.obj,AquaticAnimal,1606,3208,3208,0,0.32367399999999996,0.382675,0.95,1.074106611980859,[0.187 0.199 0.649],[ 9.99999908e-01  6.36677710e-05 -4.24803536e-04],[-8.13890785e-05  9.99123996e-01 -4.18477525e-02],[4.21767053e-04 4.18477832e-02 9.99123909e-01],[1 1 1]
AquaticAnimal/m61.obj,AquaticAnimal,216,337,337,0,0.16243000000000002,0.418396,0.95,1.050684880311885,[0.109 0.209 0.6  ],[-0.00270949 -0.05022778 -0.99873411],[-0.99977179 -0.02102748  0.00376981],[ 0.02119021 -0.99851641  0.05015935],[1 1 1]
AquaticAnimal/m62.obj,AquaticAnimal,241,478,478,0,0.10627600000000001,0.724178,0.95,1.1992615910884497,[0.078 0.384 0.553],[-0.99999743 -0.00122661 -0.00190498],[ 8.40321178e-04 -9.81602926e-01  1.90931895e-01],[-0.00210414  0.1909298   0.98160144],[1 1 1]
AquaticAnimal/m63.obj,AquaticAnimal,1112,1792,1792,0,0.95,0.699541,0.752238,1.39918534130579,[0.28  0.318 0.404],[-0.00745183  0.01868064  0.99979773],[ 0.31397362 -0.94921943  0.02007576],[0.94940246 0.31405971 0.0012082 ],[1 1 1]
AquaticAnimal/m64.obj,AquaticAnimal,247,444,444,0,0.95,0.520087,0.1539,1.093926733181432,[0.494 0.263 0.102],[2.32164511e-04 4.73486271e-03 9.99988764e-01],[ 0.02350351 -0.99971257  0.0047281 ],[ 9.99723727e-01  2.35021459e-02 -3.43383664e-04],[1 1 1]
AquaticAnimal/m65.obj,AquaticAnimal,1004,1930,1930,0,0.374816,0.579595,0.95,1.1742731359785934,[0.213 0.319 0.763],[-9.99998617e-01 -6.98285448e-04 -1.50969940e-03],[ 9.26145812e-04 -9.87655345e-01 -1.56639908e-01],[-0.00138168 -0.15664109  0.98765463],[1 1 1]
AquaticAnimal/m66.obj,AquaticAnimal,4117,8196,8196,0,0.420705,0.5225529999999999,0.95,1.1629936950964093,[0.242 0.303 0.597],[-0.97638259  0.06004314  0.20753763],[0.21249645 0.09341167 0.97268675],[ 0.03901673  0.99381542 -0.10396448],[1 1 1]
AquaticAnimal/m67.obj,AquaticAnimal,14000,27996,27996,0,0.95,0.2247,0.363988,1.0418624449244727,[0.569 0.132 0.187],[-0.00759335  0.99995021  0.00647391],[ 0.0027759  -0.00645299  0.99997533],[ 0.99996732  0.00761113 -0.00272676],[1 1 1]
AquaticAnimal/m68.obj,AquaticAnimal,553,1098,1098,0,0.95,0.253519,0.16243000000000002,0.9965718179142936,[0.521 0.132 0.107],[-0.00349616 -0.00696812  0.99996961],[-0.02192962 -0.99973471 -0.00704316],[ 0.9997534  -0.02195357  0.00334242],[1 1 1]
AquaticAnimal/m69.obj,AquaticAnimal,317,560,560,0,0.332325,0.23977600000000002,0.95,1.0346170478979166,[0.191 0.102 0.659],[0.99845138 0.00124146 0.0556175 ],[-0.05562151  0.00346966  0.9984459 ],[ 0.00104656 -0.99999321  0.00353333],[1 1 1]
AquaticAnimal/m70.obj,AquaticAnimal,320,560,560,0,0.429415,0.24107599999999998,0.95,1.0700536808968977,[0.24  0.099 0.608],[-9.99951230e-01  3.68102964e-04  9.86923506e-03],[0.00987002 0.00220706 0.99994885],[ 3.46302176e-04  9.99997497e-01 -2.21058225e-03],[1 1 1]
