Door/D01144.obj::a3::autodetected range of [nan, nan] is not finite

Hat/m1628.obj::a3::autodetected range of [nan, nan] is not finite

House/D00325.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/D00238.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m1020.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m995.obj::a3::autodetected range of [nan, nan] is not finite

RectangleTable/m888.obj::a3::autodetected range of [nan, nan] is not finite

Shelf/m868.obj::a3::autodetected range of [nan, nan] is not finite

Train/D01134.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m1020.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/D00238.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m1020.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/D00238.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m1020.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m1020.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/D00238.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/D00238.obj::a3::autodetected range of [nan, nan] is not finite

PlantIndoors/m1020.obj::a3::autodetected range of [nan, nan] is not finite

